"35","80","60","65","3","1","19","45","20","55","70"
16096282.5125196,1262260.56469102,0,459286.524910638,21122.8251819772,0,0,19468.1278505414,30618.2167804015,13435.686980587,7295.21697688978
0,1771153.76827686,2949.60582866512,10083.5421900948,41824.0180350358,0,1773.23070061396,7371.76260636561,423.288569208723,16935.5049905487,2991.51654928426
0,0,1975456.91113836,16812.2799702506,0,0,0,0,0,0,0
0,0,0,12772035.1181263,28041.3403420075,0,0,3541.47971006445,58196.9032905242,175103.221624823,0
0,0,0,0,938825.043024156,0,707.625413134309,20060.8349973106,303.429440181085,2743.80816596264,193.21770839251
0,0,0,0,0,544618.348955253,2458.21046824957,0,0,0,0
0,0,0,0,0,0,11289.5262280937,0,0,2362.46122647824,0
0,0,0,0,0,0,0,19598050.5573615,0,803.427377407167,15.0212154295043
0,0,0,0,0,0,0,0,1943278.9680628,0,0
0,0,0,0,0,0,0,0,0,150492.949441544,158.877646889059
0,0,0,0,0,0,0,0,0,0,1369745.7946236
