"35","70","1","25","30","55","20","3","19","21","40"
482343.33712928,0,0,0,12278.837395486,0,0,0,0,0,0
0,23371015.7678754,0,530766.06509978,0,0,0,0,0,0,0
0,0,993488.518322252,617896.105223838,53473.0298805165,38144.3987553672,0,39152.6324345824,401.918709228327,0,0
0,0,0,68151188.0551007,1289254.41601985,162237.133609482,494468.413387886,228897.459546814,1001.14792244618,136187.054120332,56003.290430149
0,0,0,0,4404226.93501127,69730.6183507539,4140.49786468159,2028.21048248862,0,0,3858.99847293713
0,0,0,0,0,5966140.76172581,0,63655.9550489752,221.883333810917,0,5.9041873294448
0,0,0,0,0,0,1687581.30599678,0,0,0,0
0,0,0,0,0,0,0,390373.652978923,269.817803028647,0,0
0,0,0,0,0,0,0,0,1382.66094352603,0,0
0,0,0,0,0,0,0,0,0,567895.603915032,0
0,0,0,0,0,0,0,0,0,0,905475.348331709
